date|pid|street
October 25, 2016|1601064|S. Morgan Street, from W. 14 th Place to W. 18 th Street
September 12, 2016|1601138|S. Clark Street, from W. 16 th Street to W. Cullerton Street
June 24, 2016|1601052|S. Damen Avenue, from S. Blue Island Avenue to 2,076 feet south of S. Blue Island Avenue
April 13, 2016|1501180|W. Harrison Street, from S. Ashland Avenue to S. Morgan Street:S. Morgan Street, from W. Harrison Street to W. Congress Parkway
April 13, 2016|1601183|S. Ashland Avenue, from W. Harrison Street to W Harrison Street:W. Harrison Street, from S. Morgan Street to S. Halsted Street
September 8, 2015||S. Damen Avenue, from W. 21 st Street to S. Blue Island Avenue:W. 22 nd Place, from S. Damen Avenue to S. Wolcott Avenue
June 8, 2015||W. 19 th Street, from S. Ashland Avenue to 200 feet east of S. Laflin Street:W. Cullerton Street, from S. Ashland Avenue to S. Laflin Street
May 20, 2015||W. 20 th Place, from S. Racine Avenue to S. May Street:W. 21 st Street, from S. Racine Avenue to S. May Street
November 11, 2014||W. 23 rd Street, from S. Princeton Avenue to 115 feet East of S. Wentworth Avenue
October 13, 2014||W. 23 rd Street, from S. Princeton Avenue to 115 feet East of S. Wentworth Ave
September 2, 2014||W. 24 th Place, from S. Wallace Street to S. Canal Street:S. Wallace Street, from S. Archer Avenue to W. 24 th Place
August 18, 2014||S. Desplaines Street, from W. 16 th Street to S. Canalport Avenue
June 17, 2014||S. Morgan Street, from W. 18 th Street to W. Cermak Road:W. 18 th Place, from S. May Street to S. Morgan Street:S. Miller Street, from W. 16 th Street to W. 18 th Street
May 12, 2014||S. Allport Street, from W. 19 th Street to W. Cermak Road
September 23, 2013||W. 25 th Street, from S. Kostner Avenue to S. Keeler Avenue
July 10, 2013||W. 21 st Street, from S. Laflin Street to S. Racine Avenue
April 22, 2013||S. Loomis Street, from W. Harrison Street to W. Roosevelt Road
April 17, 2013||S. Throop Street, from W. 16th Street to W. 21 st Street
October 31, 2012||S. Carpenter Street, from W. 16 th Street to W. 18 th Street:W. 17 th Street, from S. Racine Avenue to S. Carpenter Street
September 24, 2012||W. Cullerton Street, from S. Damen Avenue to S. Ashland Avenue
June 11, 2012||S. Wood Street, from W. 19 th Street to W. 23 rd Street
June 6, 2012||W. Fillmore Street, from S. Campbell Avenue to S. Western Avenue
April 10, 2012||W. Cullerton Street, from S. Racine Avenue to S. Sangamon Street
April 10, 2012||W. 20 th Place, from S. Carpenter Street to S. Morgan Street
March 12, 2012||S. Loomis Street, from W. 21 st Street to W. Cermak Road
March 12, 2012||S. Hoyne Avenue, from W. Cullerton Street to W. Cermak Road
February 27, 2012||S. Wood Street, from W. 18 th Street to W. 19 th Street:W. 18 th Place, from S. Wood Street to S. Paulina Street
June 7, 2011||S. Oakley Avenue, from W. Cermak Road to W. 24th Street:W. 22 nd Place, from S. Western Avenue to S. Oakley Avenue
May 27, 2011||S. Wolcott Aveenue, from W. 22 nd Place to S. Blue Island Avenue:W. 23 rd Street, from S. Winchester Avenue to S. Wolcott Avenue
April 18, 2011||S. Oakley Avenue, from W. Cermak Road to W. 24th Street:W. 22 nd Place, from S. Western Avenue to S. Oakley Avenue
March 29, 2011||W. 21st Street, from S. Damen Ave. to S. Ashland Avenue:S. Wolcott Avenue, from W. Cullerton Street to W. 21st Street